org_name,prop_name,public_private,address,zip_code,energy_star_score,prop_type,floor_area,floor_area_parking,year_built,total_GHG_emissions,site_EUI,weather_normalized_site_EUI,source_EUI,weather_normalized_source_EUI,water_use
Minneapolis Park and Recreation Board,Lake Hiawatha [Mn012172],Public,2701 44th St E,55406,0,Other - Entertainment/Public Assembly,3970,0,1977,66,122,129,266,278,0
Minneapolis Park and Recreation Board,Lake Nokomis Park [Mn012173],Public,2401 E Minnehaha Pkwy,55417,0,Other - Entertainment/Public Assembly,13769,0,1975,81,66,72,102,108,0
Minneapolis Park and Recreation Board,Linden Hills Park [Mn012174],Public,3100 43rd St W,55410,0,Other - Entertainment/Public Assembly,7930,0,1972,94,116,125,199,209,0
Minneapolis Park and Recreation Board,Logan Park [Mn012175],Public,690 13th Ave NE,55413,0,Other - Entertainment/Public Assembly,14294,0,1971,144,90,99,167,178,0
Minneapolis Park and Recreation Board,Longfellow Park [Mn012176],Public,3435 36th Ave S,55406,0,Other - Entertainment/Public Assembly,16396,0,1962,127,61,65,126,132,0
Minneapolis Park and Recreation Board,Loring Park [Mn012177],Public,1382 Willow St,55403,0,Other - Entertainment/Public Assembly,5164,0,1906,96,138,144,300,307,0
Minneapolis Park and Recreation Board,Luxton Park [Mn012178],Public,112 Williams Ave SE,55414,0,Other - Entertainment/Public Assembly,15400,0,1969,205,122,130,221,230,0
Minneapolis Park and Recreation Board,Lyndale Farmstead Park [Mn012179],Public,3900 Bryant Ave S,55409,0,Other - Entertainment/Public Assembly,2785,0,1977,42,139,150,250,263,0
Minneapolis Park and Recreation Board,Lynnhurst Park [Mn012180],Public,1345 West Minnehaha Pkwy,55419,0,Other - Entertainment/Public Assembly,15446,0,1971,117,68,73,125,132,0
Minneapolis Park and Recreation Board,Matthews Park [Mn012181],Public,2318 29th Ave S,55406,0,Other - Entertainment/Public Assembly,7846,0,1968,121,118,127,250,264,0
Minneapolis Park and Recreation Board,McRae Park [Mn012182],Public,906 47th St E,55407,0,Other - Entertainment/Public Assembly,7839,0,1955,84,107,116,181,192,0
Minneapolis Park and Recreation Board,Morris Park [Mn012183],Public,5531 39th Ave S,55417,0,Other - Entertainment/Public Assembly,4593,0,1956,37,73,77,133,136,0
Minneapolis Park and Recreation Board,Mprb Headquarters [Mn012184],Public,2117 W River Rd,55411,0,Office,75327,0,2001,688,54,56,143,145,0
Minneapolis Park and Recreation Board,North Commons Park [Mn012185],Public,1801 James Ave N,55411,0,Other - Entertainment/Public Assembly,13810,0,1972,165,98,105,196,204,0
Minneapolis Park and Recreation Board,Northeast Ice Arena [Mn012186],Public,1306 Central Ave N,55411,0,Ice/Curling Rink,32772,0,1996,461,132,140,235,244,0
Minneapolis Park and Recreation Board,Northeast Park - Demolished [Mn012187],Public,1616 Buchanon St NE,55413,0,Other - Entertainment/Public Assembly,0,0,1970,0,0,0,0,0,0
Minneapolis Park and Recreation Board,Painter Park [Mn012188],Public,620 34th St W,55408,0,Other - Entertainment/Public Assembly,5787,0,1976,55,103,111,164,172,0
Minneapolis Park and Recreation Board,Parade Park Ice - North [Mn012227],Public,610 Kenwood Parkway,55403,0,Ice/Curling Rink,40195,0,1988,1365,235,239,542,546,0
Minneapolis Park and Recreation Board,Parade Park Ice - South [Mn012189],Public,600 Kenwood Pkwy,55403,0,Ice/Curling Rink,34351,0,1988,449,192,203,241,255,0
Minneapolis Park and Recreation Board,Pearl Park [Mn012190],Public,414 Diamond Lake Rd E,55419,0,Other - Entertainment/Public Assembly,11934,0,1967,129,83,89,175,181,0
Minneapolis Park and Recreation Board,Peavey Park [Mn012191],Public,730 22nd St E,55404,0,Other - Entertainment/Public Assembly,1865,0,1992,57,191,197,481,488,0
Minneapolis Park and Recreation Board,Pershing Field Park [Mn012192],Public,3523 48th St W,55410,0,Other - Entertainment/Public Assembly,7287,0,1975,60,71,75,135,139,0
Minneapolis Park and Recreation Board,Phillips Pool & Gym Park [Mn012193],Public,2323 11th Ave S,55404,0,Other - Entertainment/Public Assembly,41395,0,1978,423,73,77,164,168,0
Minneapolis Park and Recreation Board,Powderhorn Park [Mn012194],Public,3400 15th Ave S,55407,0,Other - Entertainment/Public Assembly,20363,0,1972,242,91,97,192,198,0
Minneapolis Park and Recreation Board,Rev. Dr. Martin Luther King [Mn012195],Public,4055 Nicollet Ave S,55409,0,Other - Entertainment/Public Assembly,20261,0,1969,180,90,97,151,160,0
Minneapolis Park and Recreation Board,Sibley Park [Mn012196],Public,1900 40th St E,55407,0,Other - Entertainment/Public Assembly,7732,0,1973,89,117,127,195,206,0
Minneapolis Park and Recreation Board,Southside Operations Center [Mn012197],Public,3800 Bryant Ave S,55409,0,"Repair Services (Vehicle, Shoe, etc.)",58683,0,1986,584,89,95,165,174,0
Minneapolis Park and Recreation Board,Stewart Park [Mn012198],Public,2700 12th Ave S,55407,0,Other - Entertainment/Public Assembly,6081,0,1976,71,107,117,195,205,0
Minneapolis Park and Recreation Board,Van Cleve Park [Mn012199],Public,901 15th Ave SE,55414,0,Other - Entertainment/Public Assembly,13266,0,1970,161,119,128,205,217,0
Minneapolis Park and Recreation Board,Waite Park [Mn012200],Public,1810 34th Ave NE,55418,0,Other - Entertainment/Public Assembly,6212,0,1979,47,58,61,123,127,0
Minneapolis Park and Recreation Board,Webber Park [Mn012201],Public,4400 Dupont Ave N,55412,0,Other - Entertainment/Public Assembly,7016,0,1977,69,83,92,162,175,0
Minneapolis Park and Recreation Board,Whittier Park [Mn012202],Public,2600 Grand Ave S,55408,0,Fitness Center/Health Club/Gym,7549,0,1974,120,130,139,259,269,0
Minneapolis Park and Recreation Board,Windom Ne Park [Mn012203],Public,2251 Hayes St NE,55418,0,Other - Entertainment/Public Assembly,3880,0,1991,52,124,138,223,236,0
